formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Microelectronique Et Automatique (MEA),Gestion de version -> GIT SVN Base de la compilation du linkage etc...
Microelectronique Et Automatique (MEA),Pour le moment je n'en vois pas. 
Microelectronique Et Automatique (MEA),Il nous faudrait un genre d'exercice ou l'on parle pendant un temps court afin de convaincre un auditoire (format de pitch voir start-up).
Microelectronique Et Automatique (MEA),Gestion de version (Git) bonne pratique de code routage de carte plus avancee
Systemes Embarques (SE - apprentissage),Methodes de developpement logiciel
Systemes Embarques (SE - apprentissage),Redaction docs techniques
Energetique - energies Renouvelables (EnR),Cours sur des logiciels utilisees en entreprise
Informatique et Gestion (IG),SYSTEMES DISTRIBUES
Informatique et Gestion (IG),Plus de developpement
Informatique et Gestion (IG),Des cours sur les ETL et les differents outils ETL qui existent
Informatique et Gestion (IG),Sport
Informatique et Gestion (IG),Langages de developpement Aide a definir son projet professionnel
Informatique et Gestion (IG),Infrastructure des SI DEVOPS
Informatique et Gestion (IG),systeme de gestion de contenu (cms)
Informatique et Gestion (IG),Commerce
Materiaux (MAT),Un vrai cours sur la redaction de rapport et d'article scientifique. Plutot qu'un projet a 3-4 personne sans avoir vraiment de retour ou correction.
Materiaux (MAT),Management d'equipes
Materiaux (MAT),Utilisation de logiciel de modelisation Autocad Labview 
Materiaux (MAT),Formation en CAO manquante qui aurait pu m'etre utile dans mon projet professionnel (Catia AutoCad ...)
Materiaux (MAT),Ceux indiques precedemment (voir 43)
Materiaux (MAT),Des formations optionnelles sur certains logiciel de type CAO de type Catia solidworks.
Materiaux (MAT),Savoir remplir les papier de l'assurance maladie les demarches a faire apres de l'employeur comment lire un contrat ...
Materiaux (MAT),voir ci dessus
Mecanique et Interactions (MI),Gestion clients/fournisseurs
Mecanique et Interactions (MI),Decouverte de Ms Project Les grandes lignes du milieu du batiment 
Mecanique Structures Industrielles (MSI - apprentissage),- Tuyauteries Industrielles - reglementation (Nucleaires Conventionnelle) --> Pratique des DIFFERENTS codes de construction 
Mecanique Structures Industrielles (MSI - apprentissage),Bureau d'etude : Conception 
Genie Biologique et Agroalimentaires (GBA),Aucun.
Mecanique Structures Industrielles (MSI - apprentissage),.
Sciences et Technologies de l'Eau (STE),Un peu de competences genie civil ne ferait pas de mal... Egalement des competences sur les types de projet qu'on trouve en entreprise: plus d'explications sur les Schemas directeurs Etudes de faisabilite DAO...  Mieux definir les types de projet amont 'Etude' et les types de projet aval 'travaux' dans le domaine de l'eau.
Sciences et Technologies de l'Eau (STE),-
Sciences et Technologies de l'Eau (STE),- droit du travail  - maitrise d'oeuvre  - SIG J'etais en erasmus en 5eme annee et je n'ai pas eu l'occasion d'etudier ces enseignements qui m'auraient ete vraiment utile.
Sciences et Technologies de l'Eau (STE),Des enseignements lies a l'agriculture (domaine ou l'eau est tres present). Les enseignements lies aux risques d'erosion cotieres l'hydraulique cotiere (surtout dans cette region).
Sciences et Technologies de l'Eau (STE),Un enseignement sur AutoCAD (tres utilise pas vu en cours)
Sciences et Technologies de l'Eau (STE),Reseau pluvial plus approfondi
Eau et Genie Civil (EGC - apprentissage),Le droit de la construction des cours sur auto-entrepreneuriat ou la creation d'entreprise des enseignements sur l'ethique la moral et la responsabilite d'un ingenieur exactement ce qui est presente dans le rapport annuel DDRS de Polytech (developpement durable et responsabilite societal) mais dont aucune heure n'est enseignee aux etudiants et apprentis. 
Genie Biologique et Agroalimentaires (GBA),formulation (en cours) pour nous permettre de nous impliquer davantage dans la recherche d'ingredients. Nous permettre d'appliquer nos connaissances davantage dans des projet concret avec des entreprises agroalimentaires... et bien d'autres
Genie Biologique et Agroalimentaires (GBA),On n'a aucune idee des prix que peuvent couter une journee de TP une journee a l'ATA prix des machines. On etait tres guide en TP et on avait 'budget illimite' si on se trompait on pouvait refaire plusieurs fois une experience sans savoir combien on depensait exactement. Quand on arrive en stage la moindre chose a un prix et on doit l'apprendre tres rapidement.
Genie Biologique et Agroalimentaires (GBA),Je ne sais pas
Genie Biologique et Agroalimentaires (GBA),Plus de cours de marketing packaging
Genie Biologique et Agroalimentaires (GBA),droits des contrats simulation d'entretien
Genie Biologique et Agroalimentaires (GBA),Gestion des reseaux sociaux professionnels  Gestion de l'acquisition de competences au lieu de parler de 'Cours' pour savoir les identifier et les mettre en valeur (recrutement sur competence et pas sur les Cours suivis)
Genie Biologique et Agroalimentaires (GBA),Apprentissage des molecules aromatiques (nom gout odeur)
Genie Biologique et Agroalimentaires (GBA),Un cours sur les transactions douanieres : avoir des notions de base sur les demarches que l'entreprise doit faire quand elle importe de la marchandise depuis un pays hors UE
Genie Biologique et Agroalimentaires (GBA),Plus de pratique pour le management de projet
Materiaux (MAT),Avoir des cours de genie des procedes plus approfondis.
Mecanique et Interactions (MI),Le dimensionnement de structure soumise au seisme par la methode modale spectrale. Nous avons des cours sur la methode modale mais aucun sur l'analyse spectrale par une analyse quasi-statique (sous l'effet d'un seisme par direction dans une structure avec amortissement).
Sciences et Technologies de l'Eau (STE),Genie Civil Electromecanique
Microelectronique Et Automatique (MEA),Physique et utilisation de capteurs instrumentation normes electriques et habilitations electriques.
Mecanique Structures Industrielles (MSI - apprentissage),neant
Microelectronique Et Automatique (MEA),Des TPE appliquees a de vrais robots en automatique robotiques programmation et systemes embarques.
Microelectronique Et Automatique (MEA),Management
Microelectronique Et Automatique (MEA),Preparation a la partie administrative de l'emploi : securite sociale impots...
Microelectronique Et Automatique (MEA),Programmation de DSP
Microelectronique Et Automatique (MEA),Plus approfondir le fonctionnement des processeurs notamment sur les langages bas niveau.
Microelectronique Et Automatique (MEA),intelligence artificielle
Microelectronique Et Automatique (MEA),Modelisation
Microelectronique Et Automatique (MEA),Linux embarque tres demande
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Cours sur le fonctionnement d'une entreprise. Cours sur le management d'equipe - gestion des conflits. 
Genie Biologique et Agroalimentaires (GBA),marketing 
Genie Biologique et Agroalimentaires (GBA),ne pas avoir etudie le management est un gros manque
Genie Biologique et Agroalimentaires (GBA),Il manque tout un cursus pharmaco que j'ai reussi a justifier grace a ma licence. C'est tres dommage j'ai appris sur le terrain. Il manque de la pharmaceutique appliquee de la chimie orga... En plus les profs ne nous incitent pas a faire des stages en pharma
Energetique - energies Renouvelables (EnR),Ventilation et conditionnement d'air
Energetique - energies Renouvelables (EnR),Technologies de batteries le stockage etant un point essentiel pour le deploiement des enrs.
Informatique et Gestion (IG),Cours de droits en entreprise
Informatique et Gestion (IG),Communication/Gestion des relations clients
Informatique et Gestion (IG),Les metiers apres polytech IG Les technologies valorisable sur le marche 
Informatique et Gestion (IG),Cours ergonomie interface utilisateur 
Mecanique et Interactions (MI),/
Mecanique et Interactions (MI),Fonctionnement pratique d'une entreprise d'ingenierie. Types d'entreprises : prestataires sous traitants... Visites d'entreprises
Mecanique et Interactions (MI),Programmation en Python Java C++ etc...
Materiaux (MAT),textiles
Materiaux (MAT),Plus de  programation Miscrosift Excel et un site pour chercher des postes apres la remise au diplome.
Materiaux (MAT),Physique des semi-conducteurs et materiaux pour la microelectronique principes de fonctionnement des composants electroniques de base (diodes transistors).
Materiaux (MAT),Electricite.
Materiaux (MAT),CATIA V5 
Materiaux (MAT),Sur la creation d'un reseau professionnel efficace 
Materiaux (MAT),modelisation de piece / Autocad  lecture de plan 
Materiaux (MAT),CAO / FAO
Materiaux (MAT),Insertion professionnelle fonctionnement d'une entreprise 
Mecanique Structures Industrielles (MSI - apprentissage),Creation de macro sous Excel.
Eau et Genie Civil (EGC - apprentissage),Plus de notions de cout (materiau mise en place...) de maniere a savoir apprehender le cout global d'un chantier en sortant de l'ecole. 
Eau et Genie Civil (EGC - apprentissage),Davantage de formation sur AUTOCAD.
Eau et Genie Civil (EGC - apprentissage),Management
Sciences et Technologies de l'Eau (STE),Ecologie marine
Sciences et Technologies de l'Eau (STE),Genie civil Dessin industriel
Sciences et Technologies de l'Eau (STE),Avoir un cours sur 'l'actualite de l'eau en France et dans le monde' : entreprises sur le marche ou secteur public concurrence grands chiffres de l'hydroelectricite en France et dans le monde / de la potabilisation/traitement des eaux...  Outils indispensables pour l'ingenieur : AutoCAD SIG code en Python...  Preparation au monde du travail : les contrats les entretiens d'embauche decryptage d'un bulletin de salaire notions pour les futurs auto-entrepreneurs...  Notions de genie-civil (quelques reperes le domaine de l'hydraulique/traitement des eaux pouvant etre tres lie avec celui du genie-civil)
Sciences et Technologies de l'Eau (STE),La formation est tres complete en ce qui concerne l'hydraulique et le traitement de l'eau (Potabilisation / Epuration) mais peut etre un peu moins  sur les aspects de restauration de milieux aquatiques.
Sciences et Technologies de l'Eau (STE),- La maitrise de logiciels tels que Autocad Covadis ainsi que des logiciels de modelisations de reseau AEP et de modelisations hydrologiques commerciaux. Il serait bien de s'initier des les etudes sur les logiciels les plus utilises en bureau d'etudes. 
Sciences et Technologies de l'Eau (STE),plus de pratique en derniere annee par exemple pour la maitrise d'&oeliguvre gestion de projets 
Sciences et Technologies de l'Eau (STE),Cours sur les marches publics qui est deja present dans la formation mais l'enseigner de maniere moins theorique sous la forme de cas pratique. Cours sur la reglementation du Code de l'Environnement et notamment approfondir au niveau de la nomenclature eau et des dossiers loi sur l'eau. Module qui pourrait etre tres utile : Preparation a la recherche d'emploi meme si ce n'est qu'une journee avant le debut des stages de fin d'annee cela serait tres utile. 
Sciences et Technologies de l'Eau (STE),DAO
Sciences et Technologies de l'Eau (STE),Autocad
Sciences et Technologies de l'Eau (STE),Economie droit de l'eau et de l'environnement gestion d'un budget.
Sciences et Technologies de l'Eau (STE),Pratique de logiciel tel que AutoCAD
Materiaux (MAT),Les metiers de l'industrie (les methodes l'assurance qualite etc..)  
Mecanique et Interactions (MI),Management d'equipe / Reseau professionnel
Genie Biologique et Agroalimentaires (GBA),Negociation avec fournisseur/client
Energetique - energies Renouvelables (EnR),Reseaux et infrastructures electrique EXCEL !! 
Microelectronique Et Automatique (MEA),commerce
Microelectronique Et Automatique (MEA),Autocad
Informatique et Gestion (IG),Web
Materiaux (MAT),Vie industrielle preparation a l'emploi
Microelectronique Et Automatique (MEA),Utilisation des outils de versioning (formation de 2h lors de la semaine du numerique = aucune pratique pour les projets a Polytech dommage) Methodes agiles Plus de cours en informatique
Genie Biologique et Agroalimentaires (GBA),enseignements lies a la gestion d'entreprise (compta controle de gestion...)
Energetique - energies Renouvelables (EnR),Autocad + code
Mecanique et Interactions (MI),Un cours exposant les metiers/fonctions/domaines de l'ingenierie serait utile (Production/Bureau d'etude/Maintenance/Process...). Avec des exemples entreprises (Comment chaque departements communiquent et travaillent ensemble).
Energetique - energies Renouvelables (EnR),.
Informatique et Gestion (IG),Management  Administration systeme 
Microelectronique Et Automatique (MEA),Base de donnees
Sciences et Technologies de l'Eau (STE),Programmation (autre que VBA)
Energetique - energies Renouvelables (EnR),Logiciels informatiques cibles (AUTOCAD!!!! SketchUp Photoshop ...)
Mecanique Structures Industrielles (MSI - apprentissage),aucun
Eau et Genie Civil (EGC - apprentissage),Marches prives (differences avec les marches publics).
Materiaux (MAT),Voir ci-dessus
Materiaux (MAT),Procedes industriels  Production 
Genie Biologique et Agroalimentaires (GBA),Formation Excel approfondie appliquee a la Recherche et Developpement
Sciences et Technologies de l'Eau (STE),SIG approfondis Restauration des milieux aquatiques  Ingenierie ecologique ( genie vegetal et autres )
Informatique et Gestion (IG),Deploiement et mise en production de projet informatique
Sciences et Technologies de l'Eau (STE),Cours sur les marches publics
Microelectronique Et Automatique (MEA),2 sujets : - Temps reel - Gestion de l'energie
Energetique - energies Renouvelables (EnR),Apprendre a dimensionner et cabler les elements annexes d'une centrale electrique par exemple le TGBT et tous les elements de securite du reseau. Peut etre apporter une habilitation electrique.
Mecanique et Interactions (MI),La programmation
Energetique - energies Renouvelables (EnR),Cours sur des logiciels professionnels Autocad/photoshop et autres...
Systemes Embarques (SE - apprentissage),Management Production
Microelectronique Et Automatique (MEA),Base de donnees C# design d'interfaces graphique Optimisation de code
Eau et Genie Civil (EGC - apprentissage),- Suivi de chantier - SIG - 
Mecanique et Interactions (MI),Voir reponse 75.
Materiaux (MAT),les enseignements relatif au fonctionnement de l'industrie
Energetique - energies Renouvelables (EnR),plus de travaux pratiques dimensionnement autocad
Informatique et Gestion (IG),Approche d'un outil editeur type ETL et Reporting.
Genie Biologique et Agroalimentaires (GBA),Management Gestion Achat et approvisinnement
Genie Biologique et Agroalimentaires (GBA),Marketing 
Materiaux (MAT),Technologies numeriques (Solidworks ansys abaqus etc.)
Sciences et Technologies de l'Eau (STE),Genie civil 
Mecanique et Interactions (MI),Aucun j'ai fait une poursuite d'etudes dans ce but
Sciences et Technologies de l'Eau (STE),Programmation Python
Materiaux (MAT),ABAQUS modelisation
Energetique - energies Renouvelables (EnR),suivi de chantier
Sciences et Technologies de l'Eau (STE),Introduction aux secteurs publics et de la recherche. Eau et agriculture.
Informatique et Gestion (IG),Machine Learning (plus applique)
Microelectronique Et Automatique (MEA),Ingenierie systeme : cette specialite prend de plus en plus de poids dans les entreprises de l'industrie (defense aero naval ferroviaire et autres). Une initiation serait un plus. 
Genie Biologique et Agroalimentaires (GBA),Gestion d'equipe
Systemes Embarques (SE - apprentissage),Le web
Informatique et Gestion (IG),Big data (Hadoop + mapreduce)
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),Gestion d'une equipe reunion de crise 
Eau et Genie Civil (EGC - apprentissage),Travail sur logiciel de calcul geotechnique. 
Eau et Genie Civil (EGC - apprentissage),Des enseignements concernant les methodes de construction d'ouvrage hydrauliques souterrains et les outils utilises.  Exemples : Soutenements (parois moulees  pieux parois clouees etc...) fondations terrassement etc...
Mecanique Structures Industrielles (MSI - apprentissage),Formation securite et acces site 
Mecanique Structures Industrielles (MSI - apprentissage),Management d'equipe NF EN ISO 15613 CATIA V5.
Eau et Genie Civil (EGC - apprentissage),Construction metallique (Eurocode 3) Determination des actions (Eurocode 1) Base de calcul et combinaisons d'actions (Eurocode 0) Apprentissage d'un logiciel de modelisation et dimensionnement en genie-civil (sur 1 semaine a minima).
Eau et Genie Civil (EGC - apprentissage),Management
Mecanique Structures Industrielles (MSI - apprentissage), /
Eau et Genie Civil (EGC - apprentissage),aucun 
Informatique et Gestion (IG),Des cours plus axes sur la recherche avec analyse et redaction de document scientifique.
Mecanique Structures Industrielles (MSI - apprentissage),Conception assistee sur ordinateur
Eau et Genie Civil (EGC - apprentissage),Management et budgetisation 
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),Application a la Cosmetique 
Genie Biologique et Agroalimentaires (GBA),Formations pour creer un site internet  ...
Genie Biologique et Agroalimentaires (GBA),Management et gestion d'equipe 
Genie Biologique et Agroalimentaires (GBA),Marketing produit 
Genie Biologique et Agroalimentaires (GBA),programmation
Genie Biologique et Agroalimentaires (GBA),Les cours sur Excel et ses fonctionnalites avancees 
Genie Biologique et Agroalimentaires (GBA),Des cas de mise en pratique de management.
Genie Biologique et Agroalimentaires (GBA),Des enseignements dedies a la maturation de son propre projet professionnel (bien que la conception d'un projet innovant en derniere annee etait tres interessante et se rapprochait peut etre un peu a l'idee d'auto developpement professionnel mais peut etre pas suffisamment).
Genie Biologique et Agroalimentaires (GBA),aucun
Genie Biologique et Agroalimentaires (GBA),Automatisation Domotique industriel
Eau et Genie Civil (EGC - apprentissage),Electricite
Sciences et Technologies de l'Eau (STE),Controle de Gestion
Sciences et Technologies de l'Eau (STE),SIG AutoCAD aborder l'aspect 'exploitant' plutot que simplement celui de bureau d'etudes
Sciences et Technologies de l'Eau (STE),Sans objet
Sciences et Technologies de l'Eau (STE),Logiciels (telemac qgis ...)
Sciences et Technologies de l'Eau (STE),La maitrise de certains logiciels est essentielle de nos jours. Comme par exemple : SIG Autocad/Covadis etc.
Sciences et Technologies de l'Eau (STE),Nsp 
Genie Biologique et Agroalimentaires (GBA),-
Sciences et Technologies de l'Eau (STE),Aquaculture Logiciel de modelisation hydraulique hec ras
Sciences et Technologies de l'Eau (STE),/
Informatique et Gestion (IG),Des infos sur ce qui se fait actuellement : agilite et technologies/paradigmes (ceux qui sont vraiment utilises). BEAUCOUP PLUS DE CHOSES sur l'environnement logiciel : comment deployer sur un serveur comment packager etc. Le cote OPS. Gros gros manque au niveau professionnel serait un enorme plus.
Eau et Genie Civil (EGC - apprentissage),Python C++
Sciences et Technologies de l'Eau (STE),Pas d'avis
Sciences et Technologies de l'Eau (STE),Tous les enseignements etaient utiles. c'est peut etre la le probleme. Ils sont tres denses. Il serait peut-etre judicieux de creer des branches de specialisation au sein du departement STE. Pendant que certains recruteurs peuvent nous juger tres polyvalents d'autres considerent que nous ne sommes pas assez orientes
Sciences et Technologies de l'Eau (STE),Droit de l'eau Les institutions de la gestion de l'eau en France (role de l'agence de l'eau collectivites syndicat fermier ....)
Genie Biologique et Agroalimentaires (GBA),Il aurait fallu faire plus de stage de longue duree
Microelectronique Et Automatique (MEA),Systemes embarques protocoles
Microelectronique Et Automatique (MEA),Mecanique des fluides Mathematiques avancees (trajectoires orbites)
Informatique et Gestion (IG),Cybersecurite
Eau et Genie Civil (EGC - apprentissage),Sans avis
Informatique et Gestion (IG),Je n'ai pas eu les cours d'integration professionnelle car j'etais en Erasmus et je pense que cela m'a manque. Il serait peut etre interessant de donner ces cours en 4eme annee.
Informatique et Gestion (IG),La parties sur l'informatique decisionnel
Mecanique et Interactions (MI),Un cours de mecanique avance avec de l'interaction fluide-structure des modeles poroelastiques des milieux granulaires ...
Mecanique et Interactions (MI),Enseignements relatifs a la tribologie et au milieux granulaires mais je pense etre une minorite dans ce cas.
Mecanique et Interactions (MI),Medecine generale 
Mecanique et Interactions (MI),Approfondissement/Comprehension des systemes electroniques/informatiques Liens avec la mecanique plus pousses
Informatique et Gestion (IG),Une initiation sur les metiers de l'informatique industrielle ainsi que davantage de cours sur les metiers de l'infra. 
Mecanique et Interactions (MI),Et bien on a eu absolument aucune specialisation en biomecanique alors qu'on nous l'avait vendu comme ca au debut j'ai du recuperer les cours des master 2 de la fac des sciences
Mecanique et Interactions (MI),tolerancement analyse fonctionnelle
Mecanique et Interactions (MI),peut etre plus d'enseignement sur tout ce qui est strategie d'entreprises pour les gens qui souhaiteraient s'orienter vers une carriere business ou ingenieur d'affaires  prise de parole en publique leadership ingenierie commercial 
Mecanique et Interactions (MI),Ne sais pas
Informatique et Gestion (IG),DevOps automatisation containers et orchestration
Mecanique et Interactions (MI),Visite d'une entreprise ou usine presentation des differents metiers que l'on peut obtenir avec la formation MI (de par l'experience des anciens)
Mecanique Structures Industrielles (MSI - apprentissage),Utilisation des logiciels de DAO
Mecanique et Interactions (MI),- communication: defendre ses ides en reunion etc - programmation informatique pour se 'fabriquer ses outils maison'
Informatique et Gestion (IG),Je ne me rappelle plus
Systemes Embarques (SE - apprentissage),idem que question 51
Mecanique et Interactions (MI),Une introduction/decouverte a la simulation de problemes de grande taille (par exemple parallelisation des calculs calculs sur HPC...)
Materiaux (MAT),Etudes plus concrete des moyens de production 
Mecanique et Interactions (MI),management d'equipes
Mecanique et Interactions (MI),CAO sur Catia
Informatique et Gestion (IG),Les livrables Maitrise d'ouvrage - gestion d'un projet en agile 
Mecanique et Interactions (MI),Materiaux biocompatible Plasturgie
Materiaux (MAT),TP de mise en forme de polymeres. De facon generale pas assez de competences pratiques ou appliquees enseignes.
Informatique et Gestion (IG),Plus de pratique en developpement
Informatique et Gestion (IG),Comment travailler sa veille technologique se tenir au courant des dernieres nouveautes d'un secteur. Presenter succinctement les technos 'a la mode' qui apparaissent dans les entreprises et qu'on ne travaillera pas en classe.
Materiaux (MAT),Cours de vulgarisation des materiaux !!! Une sorte de cours 'Le Saviez vous? ' de culture generale sur les materiaux qui servirait de lien entre tous nos cours et que l'on retiendrait bien mieux que tous les cours tres pointus que l'on a deja.  Cours de negociation Cours de management de projet Cours sur les lignes de production en industrie Cours sur la gestion du stress
Materiaux (MAT),L'etude du bois
Materiaux (MAT),Mecanique industriel (connaissance des pompes moteurs vannes etc.)
Materiaux (MAT),Gestion production 
Materiaux (MAT),la gestion du stress et des conflits entre collegues et/ou clients. 
Materiaux (MAT),Management de projet d'equipes cours en anglais
Eau et Genie Civil (EGC - apprentissage),Gestion financiere. Gestion de sous-traitants.
Materiaux (MAT),Travaux pratique plus pousses sur la fabrication de composites Cours de CAO Cours sur les biocomposites
Materiaux (MAT),Des outils de simulation numerique utilises en industrie type CATIA ou SOLIDWORKS. 
Materiaux (MAT),Gestion de projets Innovation 
Genie Biologique et Agroalimentaires (GBA),Approche du monde du travail Connaissance technique
Materiaux (MAT),Le langage VBA.
Informatique et Gestion (IG),Test informatique
Mecanique Structures Industrielles (MSI - apprentissage),Excel
Materiaux (MAT),Cours sur le bois
Materiaux (MAT),Sans objet.
Genie Biologique et Agroalimentaires (GBA),Je ne sais pas
Materiaux (MAT),plus d'utilisation d'excel car outil tres utiliser dans l'industrie.  Des cours de matieres scientifiques en anglais
Mecanique et Interactions (MI),Je trouve que la formation MI est tres generaliste et nous permet d'avoir des connaissances dans divers domaines ce qui nous permets de choisir librement notre insertion professionnel. Du coup je ne vois pas de formations a ajouter.
Microelectronique Et Automatique (MEA),.
Informatique et Gestion (IG),Big Data
Materiaux (MAT),Modelisation conception : Autocad ou Catia
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),Management
Eau et Genie Civil (EGC - apprentissage),Aucun 
Materiaux (MAT),Une unite d'enseignement concernant les bases de la modelisation et de la CAO
Materiaux (MAT),Gestion de projet chaine de la relation de valeurs (R&D industrialisation production etc...) 
Informatique et Gestion (IG),Le cloud 
Materiaux (MAT),/
Materiaux (MAT),Dessin informatique Simulation numerique 
Materiaux (MAT),CAO
Informatique et Gestion (IG),Technologies & Concepts 'Big Data' Infrastructure as a Service (AWS GCP ...) Machine Learning  En regle generale les concepts/methodes/outils utilises par des entreprises a la page sur ce qui se fait technologiquement
Materiaux (MAT),Je pense qu'il manque une composante industrielle/production par rapport a un enseignement tres oriente recherche et developpement.   J'ai eu la sensation en arrivant a mon poste (gestion de projet dans le domaine de la production) d'avoir des connaissances theoriques ce qui est essentiel.  Mais de manquer de connaissances terrain pour de la production et l'industrie ce qui est (je crois) l'un des debouches principal pour la filiere Materiaux.   Exemple d'enseignements possibles:  Amelioration continue en production (Lean Kaizen Six-Sigma...) Les options SHEJS (Management de la qualite SSE Gestion Ingenieur innovation...) qui devraient etre vues Management d'equipe Logiciels bureautiques les plus utilises: Excel Powerpoint et particulierement VBA MS-Project SAP voir Access
Materiaux (MAT),Materiaux bois il y a un enorme marche a avoir dessus.
Mecanique et Interactions (MI),Propriete intellectuelle Brevets
Sciences et Technologies de l'Eau (STE),Finance 
Sciences et Technologies de l'Eau (STE),Prise en main d'AutoCAD (je l'utilise tous les jours)
Genie Biologique et Agroalimentaires (GBA),Faire un contrat de professionnalisation. 
Genie Biologique et Agroalimentaires (GBA),Comptabilite : je n'en avais pas realise dans mes etudes precedentes
Genie Biologique et Agroalimentaires (GBA),Biologie moleculaire
Genie Biologique et Agroalimentaires (GBA),Management achat planification... des matieres plus appliquees
Genie Biologique et Agroalimentaires (GBA),Excel 
Genie Biologique et Agroalimentaires (GBA),+ Une vraie formation a l'utilisation d'outil d'extraction et de mise en forme de data d'activite (Buisness Object Buisness Intelligence etc.) + Une intervention sur le relationnel entreprise
Genie Biologique et Agroalimentaires (GBA),Plus d'etudes de cas concrets et de mises en pratique pourraient etre utiles plus de visites d'entreprises et de prises de contact avec les industriels...
Genie Biologique et Agroalimentaires (GBA),Management de projet 
Genie Biologique et Agroalimentaires (GBA),Gestion du stress et de la responsabilite 
Genie Biologique et Agroalimentaires (GBA),Cours sur Excel 
Genie Biologique et Agroalimentaires (GBA),- Connaissance et organisation de l'Entreprise --> Favoriser le lien Ecole/Entreprise (Visites d'usines projets industriels plus nombreux etc)
Sciences et Technologies de l'Eau (STE),Gestion de projet gestion de budget Autocad plus de terrain dans des usines. 
Genie Biologique et Agroalimentaires (GBA),Option production vue meme quand on est en Qualite
Genie Biologique et Agroalimentaires (GBA),-
Genie Biologique et Agroalimentaires (GBA),NSP
Genie Biologique et Agroalimentaires (GBA),la comptabilite le droit ...
Microelectronique Et Automatique (MEA),Notions de soudure (pas pour moi mais certains camarades auraient du mal a prototyper quoi que ce soit)
Microelectronique Et Automatique (MEA),Cours de conception ou de gestion de projet. Avoir des bases pour concevoir un projet un systeme ou un logiciel serait un plus pour le travail en entreprise ou meme pour se lancer dans la creation d'entreprise ou de projet.  Pour la pratique : le PIFE et les differents projets en cours de formation sont suffisants (completes par les stages). Pour la theorie : apprendre les differents type de logiciels dans la gestion de projet (git fiche de test diagramm de Gantt ...) 
Microelectronique Et Automatique (MEA),Nouvelles technologies
Microelectronique Et Automatique (MEA), 
Microelectronique Et Automatique (MEA),Gestion d'equipe et de projets 
Genie Biologique et Agroalimentaires (GBA),Tout ce qui concerne les techniques de management (survoles en 5eme annee mais souvent abordes au cours du stage de derniere annee) l'utilisation approfondie des outils informatiques (essentielle en stage et en poste) ainsi que la maitrise des aspects techniques comme la comprehension du fonctionnement de l'ensemble des machines utilisees (cause de grands moments de solitude surtout face a des techniciens)
Materiaux (MAT),Il n'y a rien sur des la discussion commerciale avec des clients.
Materiaux (MAT),L'UTILISATION DE CATIA (ou autres logiciels de design) !! Meme en tant qu'ingenieur materiaux ce serait EXTReMEMENT UTILE !!!! Il serait interessant (voir primordial) selon moi de remplacer des enseignements a l'utilite douteuse (voir ci-dessous) par un(e) matiere/formation/projet sur ce genre de logiciel.   Peut-etre commencer par un enseignement sous forme de TP en salle informatique puis faire un projet type projet d'entreprise ?  Par exemple :  - Un fabricant automobile veut remplacer tel element de structure du chassis (ou telle piece dans le systeme de freinage...) --> Designer une piece de remplacement (choix du design + materiaux etude mecanique dessus (MEF ? Simulations de tests de fatigue ?)).
Sciences et Technologies de l'Eau (STE),L'introduction a R un peu plus pousser aurait ete interessant. R est tres utiles pour gerer les dossiers les feuilles de calculs etc. On peut meme l'utiliser pour faire de la SIG.
Materiaux (MAT),Electronique
Microelectronique Et Automatique (MEA),Le dev
Materiaux (MAT),Production qualite logistique
Microelectronique Et Automatique (MEA),Vision professionnel pour mieux apprehender le monde entreprise
Sciences et Technologies de l'Eau (STE),Notions de Schema Directeur Diagnostic reseaux et infrastructures.
Materiaux (MAT),Genie civil (plus de materiaux de construction)...Seulement 3h de beton en 3A
Genie Biologique et Agroalimentaires (GBA),x
Materiaux (MAT),Metaux : faire un cours plus approfondi sur les Inox les alliages de Nickel et le Titane. Quelques heures suffiraient...
Genie Biologique et Agroalimentaires (GBA),Utilisation Excel approfondi pour synthetiser des resultats exemple tableau croisee dynamique !
Genie Biologique et Agroalimentaires (GBA),le management
Genie Biologique et Agroalimentaires (GBA),Notion d'agronomie  Biotechnologies  
Genie Biologique et Agroalimentaires (GBA),rediger les genes
Materiaux (MAT),Formation aux outils manageriales industriel outils de production 
Mecanique et Interactions (MI),Une aide a la reflexion personnelle pour comprendre pourquoi nous voulons faire ce que nous faisons et ce qui nous plait vraiment 
Systemes Embarques (SE - apprentissage),NSP
Mecanique et Interactions (MI),Intervention de salaries de grandes entreprises 
Genie Biologique et Agroalimentaires (GBA),Developpement produits & Marketing (en 4A pour les Erasmus) 
Systemes Embarques (SE - apprentissage),Industrialisation
Microelectronique Et Automatique (MEA),-> La decouverte de domaine industriel 
Microelectronique Et Automatique (MEA),Le plus utile a mon avis est d'apprendre a utiliser Git de plus en plus d'entreprises se servent de cet outil pour la gestion de version.  Un autre enseignement qui pourrait etre utile est d'apprendre a utiliser les commandes de bases de Linux.
