formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Sciences et Technologies de l'Eau (STE),2015,Stage 4A trouve sur internet Stage 5A trouve grace a un camarade de classe emploi courant trouve grace a une ancienne STE. Se sociabiliser et elargir son reseau est primordial pour augmenter ses chances.
Mecanique Structures Industrielles (MSI - apprentissage),2015,La formation MSI en apprentissage m'a permis de trouver un emplois rapidement. En effet les employeurs recherche de plus en plus de personne avec une experience professionnel. Celle ci a ete apporte par les periodes en entreprises
Materiaux (MAT),2015,Reflechir a ce qu'ils veulent tirer de ce stage et vers quelle voie ils veulent s'orienter.
Materiaux (MAT),2015,Dans la mesure du possible ne pas hesiter a prendre son temps pour trouver son premier emploi. Il y a des opportunites bien meilleures que d'autres. 
Genie Biologique et Agroalimentaires (GBA),2015,Insertion professionnelle rapide grace au stage de fin d'etudes (embauchee en CDI directement apres le stage dans la meme entreprise). Par contre salaire tres inferieur au minimum legal de la convention collective de l'entreprise par rapport au statut/poste occupe : il faut prendre le temps de comprendre/d'apprendre les composants de son salaire (fiche de paie) et de la convention collective associee pour eviter de se faire avoir. 
Sciences et Technologies de l'Eau (STE),2015,Afin d'acquerir des contacts et experiences dans le milieu ou je voulais travailler j'ai fait un service civique apres mon diplome d'ingenieur. Ce qui a ete benefique vu que j'ai ete embauche en CDI apres. 
Informatique et Gestion (IG),2015,Rien a dire 
Sciences et Technologies de l'Eau (STE),2015,J'ai personnellement eu une insertion professionnelle ideale.
Microelectronique Et Automatique (MEA),2015,Restez en contact avec vos enseignants vos encadrants (stages/projets) et vos camarades (aussi des autres annees) ils peuvent vous proposer un stage / un emploi a n'importe quel moment de votre formation ou de votre carriere Profitez des stages pour decouvrir different types d'entreprise et different domaines cela vous aidera a vous orienter
Energetique - energies Renouvelables (EnR),2015,Je suis parti voyager a l'etranger apres l'obtention de mon diplome. Pour des raisons personnelles j'y suis reste deux ans. Je n'ai pas trouve d'opportunite de travailler dans mon domaine sur place. Je suis maintenant de retour en France et en manque d'experience professionnelle hors formation.
Mecanique et Interactions (MI),2015,Pas evident du tout de trouver une premiere experience tres peu de contact fourni par l'ecole.
Eau et Genie Civil (EGC - apprentissage),2015,Je conseille fortement de ne pas solliciter mon entreprise actuelle (CA EAU) pour un eleve apprenti en raison de la personnalite complexe du patron. 
Mecanique et Interactions (MI),2015,J'ai entendu parler de mon entreprise au Cap Afrique du Sud par d'anciens eleves. J'ai retrouve le nom et le contact de l'entreprise sur google appele directement le directeur via Skype (en appelant sa ligne fixe depuis mon erasmus en Suede) et ete embauche sur CV pour mon stage de fin d'etudes. Au bout de 5 mois j'ai demande a etre embauche et j'ai accepte leur offre.  L'obtention du visa a dure plus de 8 mois. Entre-autres a cause de l'incapacite de Polytech a me fournir mon diplome/un certificat acceptable par le ministere des affaires interieures rapidement. C'est pourquoi j'ai trouve une mission d'interim de 4 mois au CEA. Heureusement mon entreprise sud africaine m'a attendu. J'aurais pu perdre mon emploi...
Genie Biologique et Agroalimentaires (GBA),2015,Le management et surtout l'humain sont primordiales 
Materiaux (MAT),2015,Dans le cadre d'ancien bresilien etudiant polytech j'ai pu constater que mon insertion professionnelle a pu se faire grace au reseau 'networking' que justement j'ai forme pendant mon parcours a polytech. il est donc tres important de rester en contact avec les anciens collegues et aussi avec les enseignants.  
Materiaux (MAT),2015,La formation est globalement interessante et permet de s'adapter a bon nombre de postes sur le marche. Il est important d'insister sur les langues critere qui peut faire la difference. 
Sciences et Technologies de l'Eau (STE),2016,Je vais un peu me repeter par rapport au 33. mais le stage de fin d'etude m'a vraiment apporte les competences que j'ai vendu en entretien pour mon service civique a l'entretien de l'armee et que je compte mettre en avant prochainement aux concours de pompier. Concretement le stage m'a permis de me specialiser en modelisation hydraulique et en prevision/prevention du risque inondation ce qui est plus avantageux qu'une specialisation biologie ou gdp pour integrer la securite civile.
Mecanique et Interactions (MI),2016,Meme si mon metier n'a rien a voir avec la formation d'ingenieur de base que j'ai pu recevoir j'ai quand meme grandement apprecie ces (5) annees a Polytech Montpellier en prepa/MI et l'enseignement que j'ai pu en tirer. Bon courage a vous !
Materiaux (MAT),2016,Facile en etant motive.
Energetique - energies Renouvelables (EnR),2015,La formation est trop eloignee de missions rencontrees en entreprise trop theorique. 
Sciences et Technologies de l'Eau (STE),2017,Tres peu d'accompagnement pour les poursuites en these
Informatique et Gestion (IG),2016,Ce qui a vraiment fait la difference dans mon insertion professionnelle sont les 'soft skills' que Polytech m'a aide a perfectionner: communication gestion de projets capacite d'adaption capacite de presentation et niveau en langues etrangeres  
Systemes Embarques (SE - apprentissage),2015,Il n'y a rien de mieux que l'apprentissage pour se preparer au monde de l'entreprise et acquerir le professionnalisme necessaire. Personnellement je pense que l'apprentissage est plus formateur qu'un cursus standard meme si ce dernier se termine par un stage de 6 mois en entreprise. L'apprentissage met dans les conditions de salarie avec les obligations qui sont liees comme les heures de presence obligatoire les 5 (ou plus) semaines de conges la relation client...
Mecanique Structures Industrielles (MSI - apprentissage),2017,Mon entreprise m'a tres bien formee 
Mecanique Structures Industrielles (MSI - apprentissage),2015,Le choix de l'entreprise qui sert a l'apprentissage est important pour les jeunes qui n'on Jamais travaille avant Polytech car elle determine qu'elle metier il pourra viser a la sortie de Polytech 
Mecanique Structures Industrielles (MSI - apprentissage),2016,L'alternance a ete un vrai plus pour l'insertion professionnelle. Le fait d'avoir un pied dans le monde industriel durant les trois ans de la formation se revele etre un vrai avantage au moment de l'insertion professionnelle elle se fait beaucoup plus naturellement (en comparaison avec d'autres etudiants).
Eau et Genie Civil (EGC - apprentissage),2016,Mon insertion professionnelle c'est faite apres 3 ans d'apprentissage en maitrise d'oeuvre. J'ai voulu connaitre un autre point de vue sur les projets en integrant une grande entreprise de construction et je ne le regrette pas. J'ai l'occasion d'etre responsable des etudes de prix aujourd'hui sur des ouvrages de plusieurs dizaines de millions d'euros dans une ambiance de travail excellente. 
Mecanique Structures Industrielles (MSI - apprentissage),2015,Il y a du travail dans le soudage a condition d'etre pret a ne plus voir le soleil du sud.
Eau et Genie Civil (EGC - apprentissage),2016,La formation egc gagnerait a etre plus approfondi dans le traitement de l'eau (process) mais aussi dans les projets ou les enseignements professionels. La presence de cours de management serait un gros plus pour ceux destines a encadrer des equipes
Mecanique Structures Industrielles (MSI - apprentissage),2016,Tres satisfait de la formation et des opportunites professionnelles qu'elle m'a donnee.
Mecanique Structures Industrielles (MSI - apprentissage),2017,Satisfait
Mecanique Structures Industrielles (MSI - apprentissage),2016,Ne pas reflechir par rapport au statut du poste ou a la remuneration immediate.  Reflechir a un projet de carriere sur 5 ans.  Les premiers postes doivent developper des competences qui serviront pour le projet de carriere. 
Eau et Genie Civil (EGC - apprentissage),2016,Il faut etre a l'ecoute des besoins de l'entreprise savoir s'adapter au sein des equipes et developper son reseau relationnel. 
Genie Biologique et Agroalimentaires (GBA),2017,Je suis en VSI donc je n'en ai pas pour le moment 
Genie Biologique et Agroalimentaires (GBA),2016,Insertion professionnelle tres rapide grace au contrat pro
Genie Biologique et Agroalimentaires (GBA),2017,importance de l'adaptation chaque entreprise a ses specificites
Genie Biologique et Agroalimentaires (GBA),2016,Mon insertion professionnelle s'est relativement bien passee. Neanmoins certains aspects tout betes sont difficiles a apprehender :  vouvoiement les limites dans la prise de decision... Peut serait-il bon de rajouter des cours relatifs aux comportements humains en entreprise...?
Genie Biologique et Agroalimentaires (GBA),2017,Je ne suis pas insere
Genie Biologique et Agroalimentaires (GBA),2017,Incapacite a me demarquer des autres candidats
Eau et Genie Civil (EGC - apprentissage),2016,La formation par apprentissage est un vrai plus pour l'insertion professionnelle et m'a permis une evolution professionnelle rapide.
Sciences et Technologies de l'Eau (STE),2016,Faire ses preuves en stage c'est crucial pour l'insertion professionnelle
Sciences et Technologies de l'Eau (STE),2015,J'ai pu faire ce dont j'avais envie en rentrant a Polytech et en m'orientant en STE : travailler sur des projets internationaux. Attention quand meme car c'est un segment assez limite et qui demande beaucoup d'experience en general les entreprises font rarement travailler des jeunes sur des projets internationaux. Il faut donc savoir saisir les opportunites (VIE par exemple) et parler des langues 'rares' est un bon moyen pour ce faire.
Sciences et Technologies de l'Eau (STE),2015,Le contrat de professionnalisation a  grande dement facilite mon insertion professionnelle.
Sciences et Technologies de l'Eau (STE),2017,Les offres d'emploi envoyees par les profs sont utiles.  Merci 
Sciences et Technologies de l'Eau (STE),2017,Plutot agreable
Sciences et Technologies de l'Eau (STE),2015,Longue periode de chomage (10 mois) mais la patience paie...
Sciences et Technologies de l'Eau (STE),2015,/
Informatique et Gestion (IG),2015,Temperez les interventions des SSII qui vendent du reve laisser les gens se faire des avis d'eux-memes :p (ou faites parler des anciens plutot que des RH). Au plaisir!
Sciences et Technologies de l'Eau (STE),2016,L'envoi des offres d'emploi/CDD via les professeurs sont importants et appreciables meme apres avoir quitte l'ecole ! a ne pas abandonner :)
Sciences et Technologies de l'Eau (STE),2016,Le domaine de l'eau - assainissement est tres ferme. On a beau dire que c'est un metier d'avenir la demande reste plus important que l'offre a ce jour. Je suis heureuse d'avoir fait le double diplome a l'IAE de Montpellier qui m'a permis d'elargir mes horizons.
Eau et Genie Civil (EGC - apprentissage),2017,Pour le moment je suis en volontariat je pourrai repondre a cette question l'annee prochaine !
Sciences et Technologies de l'Eau (STE),2017,Ce n'est pas aussi dur que ce qu'on dit ! mais il faut etre patient... les recherches sont tres chronophage
Genie Biologique et Agroalimentaires (GBA),2016,Il faudrait faire plus de stage de longue duree. De plus l'anglais est tres important maintenant dans toutes les entreprises
Microelectronique Et Automatique (MEA),2015,Informer sur les realites sociales du monde professionnel (SS2I objectifs et ressources de chaque acteurs d'une entreprises soft skills etc).
Eau et Genie Civil (EGC - apprentissage),2017,Poste trouve apres 45 mois de recherches. Peu d'offres CDI pour ingenieur debutant (meme avec apprentissage). 
Informatique et Gestion (IG),2017,J'ai privilegie les emplois en interne que en tant que prestataire car je ne pouvais pas travailler dans environnement avec trop de pression 
Informatique et Gestion (IG),2016,Insertion professionnel tres bien reussi. Les cours de communication et d'insertion pro sont precieux et a ne pas negliger (enseignants comme etudiants)
Mecanique et Interactions (MI),2017,Dans mon cas c'est le PIFE qui m'a oriente  c'etait un PIFE propose par M. RENOUF sur les milieux granulaires. Le domaine explore durant ce projet m'a permis je pense d'avoir mon stage de 5e annee a ArcelorMittal dans le milieu granulaire. Quant a la these (et aux 3 mois de CDD en 'preparation' de these) c'est egalement M. RENOUF qui au courant de ma volonte d'en faire une m'a informe de l'existence de ce sujet et me l'a propose.
Mecanique et Interactions (MI),2015,Insertion facilitee par la double competence (ce qui a fait la difference a l'embauche).  Contact facilite par la formation d'ingenieur MI aupres de differents acteurs (chirurgiens pharmaciens  directeurs) notamment par l'acquisition d'une credibilite technique et connaissance des produits.   
Mecanique et Interactions (MI),2017,Impossible a l'issue de la formation (dans le biomedical) sans une formation complementaire
Mecanique et Interactions (MI),2016,La formation est tres difficile a vendre sur le papier en tant jeune diplome  parce qu'elle est tres orientee recherche.
Mecanique et Interactions (MI),2016,Ne pas hesiter a prendre du temps pour voyager a la fin du stage. Je suis parti quelques mois a l'etranger avant de revenir en France pour trouver du travail et c'est une formidable experience personnelle qui se justifie totalement lors des entretiens.
Mecanique et Interactions (MI),2016,Au debut de mon contrat j'ai eu beaucoup de mal a evaluer le mecanisme des systemes que l'on me presentait c'est a dire les differents degres de liberte que je devais modeliser pour etre au plus proche de la realite.   Il serait egalement interessant de presenter les differentes nuances de materiaux possibles soudable ou non usinable etc ... (acier aluminium inox delrin ...) 
Mecanique et Interactions (MI),2016,Insertion rapide pour moi car embauchee a l'issue du stage
Mecanique et Interactions (MI),2017,Les enseignements proposes sur la simulation numerique sont pertinents et coherents les uns par rapport aux autres : cela permet une bonne insertion professionnelle dans ce domaine. Merci a l'ensemble du departement MI pour l'encadrement pedagogique et la formation de qualite.
Mecanique et Interactions (MI),2015,Bonne formation en general. Peut etre faut il accentuer l'aspect mecatronique dans la formation car les entreprises cherchent de plus en plus des competences dans l'electronique et l'informatique (language C) meme pour des postes d'ingenieurs mecaniciens. 
Mecanique et Interactions (MI),2016,Chasseurs de tete et autres boites de consulting sont nombreuses a promettre monts et merveilles et parasites completement la recherche d'emploi. Leurs entretiens peuvent etre considerer comme un entrainement dans un premier temps mais s'avere plus chronophages et fatigantes qu'utiles a la longue.
Materiaux (MAT),2017,Sur ce point Polytech a ete tres pertinent et applique. 
Materiaux (MAT),2017,Grace a ma seconde formation profil bien complet. Aucun probleme. 
Materiaux (MAT),2017,Je n'ai pas trop mal vecu mon insertion professionnel dans le sens ou la recherche et l'obtention d'un emploi s'est deroulee sans probleme. Mais ce n'est pas le cas de tout le monde...   Je conseillerai a Polytech de developper le systeme d'annee sabbatique entre la quatrieme et la cinquieme annee. Pas pour faire n'importe quoi bien sur mais pour permettre aux etudiants d'acquerir plusieurs experiences professionnelles significatives (par exemple deux stages de six mois) je pense que cela aiderait vraiment les etudiants a se former davantage de facon pratique et apprehender le monde du travail dans de meilleures conditions. 
Materiaux (MAT),2016,Tres tres difficile l'insertion professionnelle apres la formation peu d'aide de la part de l'ecole et peu d'aide voir pas du tout de la part du reseau.
Eau et Genie Civil (EGC - apprentissage),2016,Je ne pouvais pas faire mieux.
Materiaux (MAT),2016,Manque de propositions d'emplois et de suivi apres les etudes qui a rendu l'insertion professionnelle difficile pour plusieurs etudiants.
Materiaux (MAT),2016,Peu de suivi de l'ecole apres la fin des etudes pas d'orientation au cours des 3 annees reseau des anciens peu utile. Il faudrait avoir plus d'intervenants industriels plus de pratique que de theorie pour certains cours (ex:composites) et des outils informatiques vraiment pratiques pour l'industrie
Informatique et Gestion (IG),2015,J'ai obtenu mon stage chez Backelite (entreprise exigeante en terme de recrutement) grace a mes experiences precedentes dans le dev mobile. C'est donc en reperant rapidement quel secteur m'attirait que j'ai pu developper mes competences suffisamment tot pour que Backelite retienne mon profil.
Materiaux (MAT),2016,L'apprentissage ne s'arrete pas apres l'ecole.
Informatique et Gestion (IG),2017,Dans un premier temps merci pour ce que vous avez fait :) Ensuite rien de bien special nous avions deja fait remonter pas mal d'informations/problemes lors de notre formation. Pour ce qui est de mon insertion professionnelle tout se passe bien de mon cote mon entreprise et mes collegues sont satisfaits de moi je travaille rapidement en autonomie et efficacement ! Aucun souci de cohesion ou quoi que ce soit dans l'entreprise certainement grace aux nombreux cours que nous avons eus a Polytech et qui nous permets d'etre polyvalent une fois dans le monde du travail et d'arriver a s'adapter a toutes les situations ! :)
Materiaux (MAT),2015,Coup de chance ! Au bon endroit au bon moment
Genie Biologique et Agroalimentaires (GBA),2016,Saisir les opportunites et faire marcher son reseau. Ne pas lacher son projet professionnel meme si le premier emploi peut parfois etre difficile a decrocher 
Materiaux (MAT),2016,Insertion facilite par un assez grand reseau m'ayant permis de trouver facilement un stage et un emploi par la suite
Mecanique et Interactions (MI),2017,C'est grace a mon stage de fin d'annee et a mes contacts professionnels que j'ai reussi a trouver rapidement un emploie dans un domaine qui me plait. J'ai remarque que les competences acquises en MI sont recherches et apprecies dans divers domaines ce qui facilite de trouver un emploi.
Microelectronique Et Automatique (MEA),2015,.
Informatique et Gestion (IG),2016,RAS
Materiaux (MAT),2017,Ma formation etait un peu trop orientee 'Recherche' plutot que 'Industrie' ce qui m'a un peu fait defaut dans ma recherche d'emploi par rapport a des jeunes diplomes concurrents
Genie Biologique et Agroalimentaires (GBA),2015,Evolutions rapides 3 postes en 2 ans 
Eau et Genie Civil (EGC - apprentissage),2017,Il faut s'accrocher car ce n'est pas un metier facile 
Materiaux (MAT),2015,/
Genie Biologique et Agroalimentaires (GBA),2017,Le contrat de professionalisation m'a bien aide dans mon insertion. Je l'ai fait chez Danone et ils ont un bon reseau et stagiaires et alternants qu'ils essaient d'embaucher en cdd ou cdi selon leurs performances pendant leur stage.
Informatique et Gestion (IG),2016,Mon insertion professionnelle s'est faite dans des conditions tres naturelles. Il faut reconnaitre que les cours d'insertion professionnelle  les projets industriels de fin d'etudes ainsi que les stages realises en cours de la formation nous preparent au monde du travail.
Materiaux (MAT),2016,Plus generalement lors des enseignements il serait preferable a mon sens de moins perdre de temps sur la theorie et d'avantage travailler sur des cas d'etude concrets afin d'etre moins eloigne de la realite de la vie en entreprise.
Materiaux (MAT),2016,Le tout c'est de voir l'insertion professionnelle comme un jeu dans lequel soit tu gagnes soit tu apprends. 
Materiaux (MAT),2015,Merci a Polytech Montpellier pour la formation et pour ces 3 annees
Materiaux (MAT),2016,Bien choisir ne pas se retrouver a se reveiller un matin en se disant que c'est n'est pas ce qu'on l'on souhaite faire. Privilegie le plaisir d'aller au travail plutot que de se choper un ulcere.
Sciences et Technologies de l'Eau (STE),2016,etre ouverts a toute opportunite !
Systemes Embarques (SE - apprentissage),2017,Parfait l'ecole nous a tres bien forme a devenir responsable et efficace rapidement 
Sciences et Technologies de l'Eau (STE),2016,Mes superieurs ont utilise mon stage de fin d'annee comme periode d'essai et de 'formation' (utilisation des logiciels de modelisation - Flood Modeller-TUFLOW InfoWorks MicroDrainage - et des programmes developpes par JBA). Quand j'ai postule au stage je savais qu'ils etaient a la recherche de jeunes ingenieurs pour renforcer l'equipe de drainage (une STE en cesure a JBA m'avait donne l'info). Au bout de 2 mois de stage ils m'ont propose de signer un CDI a la fin de mon contrat de stage pour rejoindre l'equipe drainage ce que j'ai accepte (en lien avec mon projet professionnel).
Genie Biologique et Agroalimentaires (GBA),2016,Le fait d'avoir eu un cdd dans la meme entreprise que mon stage de fin d'etude m'a grandement facilite mon insertion professionnelle. De meme pour la participation au concours ecotrophelia que les entreprises traduisent par de l'implication et de la motivation. 
Genie Biologique et Agroalimentaires (GBA),2017,Je suis en poste en tant qu'ingenieur consultant et je suis en mission en tant que planificateur projet pour un client qui est specialise dans le montage des echafaudages. Cela n'a rien a voir avec ma formation initiale (GBA) mais les differents enseignements et projets qu'on a pu avoir lors du cursus m'a permis d'apprendre a m'adapter vite quelques soit le domaine. 
Genie Biologique et Agroalimentaires (GBA),2015,J'ai mis beaucoup de temps a trouver mon premier emploi (5 mois) mais depuis je suis tres satisfaite de mon poste. 
Genie Biologique et Agroalimentaires (GBA),2017,La possibilite de realiser un double diplome:  POLYTECH/Master BIOTIN est selon moi une bonne chose qu'il faudra poursuivre tout en fluidifiant les demarches administratives a realiser.
Genie Biologique et Agroalimentaires (GBA),2016,Extremement difficile de trouver un premier emploi interessant correspondant a ces etudes. 
Genie Biologique et Agroalimentaires (GBA),2016,La notoriete de Nestle dans lequel j'ai realise mon stage 5A a ete un element determinant dans mon insertion professionnelle. Il ne faut pas negliger cet aspect.
Genie Biologique et Agroalimentaires (GBA),2015,Ne pas refuser un poste sous pretexte qu'il est moins paye que ce qu'on visait en sortant d'ecole il faut savoir etre patient et pas trop gourmand en sortant d'ecole les salaires ne sont pas les memes partout dans le monde. De meme pour le statut cadre il n'est pas automatique.
Genie Biologique et Agroalimentaires (GBA),2017,Il faut absolument etre mobile pour avoir tout de suite un emploi
Sciences et Technologies de l'Eau (STE),2015,Pour ma part le bouche a oreille a ete efficace et la saisie d'opportunite egalement. J'ai ete suffisamment prepare avec les notions apprises en cours pour y faire face.  En conseil je dirais qu'une augmentation des cas d'etudes que l'on peut trouver en entreprise et ce pour n'importe quelle discipline pourrait etre interessant pour faciliter la saisie d'opportunite.
Sciences et Technologies de l'Eau (STE),2016,L'important est de bien reussir sont stage de fin d'etude de se faire des contacts. Repondre a un grand nombre d'annonces. 
Genie Biologique et Agroalimentaires (GBA),2016,Polytech est une ecole solide qui nous prepare tres bien au monde professionnel. Au dela des apprentissages theoriques on nous apprend a adopter un raisonnement  amelioration continue . Malgre le manque/la perte de competences techniques ou connaissances parfois cette methodologie nous permet de s'en sortir au quotidien d'aller toujours de l'avant et d'etre force de proposition. Ce qui est tres reconnu dans le monde professionnel.
Microelectronique Et Automatique (MEA),2016,Les projets personnels sont un plus non negligeable sur le CV. N'hesitez pas a decrire tout projet ou activite qui peuvent prouver vos qualites pour travailler en equipe ou vos capacites d'adaptation. Il ne faut pas hesiter a faire beaucoup d'entretiens d'embauche et a faire patienter les chasseurs de tete qui ont tendance a vous forcer la main. La recherche d'information est importante il faut avoir un minimum d'information possible sur l'entreprise dans laquelle on postule (connaitre les prix du marches les avis sur l'entreprise ...).
Microelectronique Et Automatique (MEA),2016,J'ai pu beneficier du statut etudiant entrepreneur pendant ma derniere annee a Polytech Montpellier. Cela m'a ete utile pour beneficier par la suite de la Jumping Creation au Bic de Montpellier et d'un suivi par l'incubateur de l'ecole des mines d'Ales. 
Microelectronique Et Automatique (MEA),2016, 
Microelectronique Et Automatique (MEA),2017,Le choix d'une specialite a Polytech ne ferme en aucun cas les portes vers un autre domaine!
Microelectronique Et Automatique (MEA),2016,On n'a rien a perdre tentez.
Genie Biologique et Agroalimentaires (GBA),2017,Diplome assez generaliste qui permet d'occuper une multitude de postes mais l'ensemble des debouches n'est pas assez presente en dehors des postes correspondant directement au specialite de derniere annee : R&D gestion de production ou responsable qualite. Ceci entraine une meconnaissance totale des possibilites sur le marche de l'emploi et fait passer a cote de nombreux metiers hors du travail en usine 
Materiaux (MAT),2017,J'ai trouve mon emploi au debut du mois d'Octobre.  Il etait difficile de trouver des offres correspondantes a mes competences (ecrasante majorite d'offres recherchant des competences sur CATIA...) c'est pourquoi j'ai commence a regarder des V.I.E. Des que je me suis mis a postuler en Belgique c'est alle tres tres vite.
Sciences et Technologies de l'Eau (STE),2016,Les americains adorent les etudiants francais car on a une formation mathematics et physics plus approfondie. C'est un gros avantage par rapport a eux. Il faut continuer a demontrer les lois et les theoremes.
Materiaux (MAT),2016,Un peu plus de preparation d'insertion pro (entretien principalement) aurait ete mieux a l'ecole. Sinon parfait !!
Genie Biologique et Agroalimentaires (GBA),2015,LinkedIn est un bon outil pour faire grandir votre reseau. Le conseil que j'ai recu est de le maintenir en eveil tout au long de votre vie professionnelle et de l'allumer le jour ou vous souhaitez changer d'emploi. Si vous vous rendez dans une usine pour passer un entretien vous pouvez demander a visiter le site ou vous etes. C'est apprecie des recruteurs et si les personnes disent non ce n'est pas mauvais signe c'est certainement pour des raisons de confidentialite. 
Sciences et Technologies de l'Eau (STE),2017,Pas grand chose si ce n'est que mon emploi actuel fait suite a mon stage de fin d'etude STE.
Genie Biologique et Agroalimentaires (GBA),2015,Je suis tres heureuse d'avoir choisi Polytech  )
Materiaux (MAT),2015,Il faut vraiment privilegier le contrat de professionnalisation ou/et l'alternance !
Genie Biologique et Agroalimentaires (GBA),2017,Mon parcours post-etude est difficile a prendre en compte dans le cadre de cette etude car il ne correspond pas a une categorie bien definie.  Apres avoir ete diplomee j'ai passe ces deux ans a voyager apprendre des langues et approfondir mes connaissances de certaines cultures. J'ai ete impliquee dans differentes associations humanitaires et de protection de l'environnement. Je me suis aussi formee a la permaculture et a l'ecoconception .. Meme si je n'ai jamais travaille en tant qu'ingenieur les connaissances acquises au cours de mon cursus a Polytech m'ont ete benefiques tant au niveau technique (thermodynamie mecanique des fluides nutrition etc) qu'au niveau des connaissances transversales (economie entrepreneuriat connaissances des normes et reglementations etc) mais aussi et surtout par le travail de reflexion d'organisation de synthese et la curiosite qu'un cursus d'ingenieur implique.
Materiaux (MAT),2017,RAS
Mecanique et Interactions (MI),2017,Aucun 
Mecanique et Interactions (MI),2017,/
Microelectronique Et Automatique (MEA),2017,Je suis etonne de ne pas voir la question (a rajouter ?) alors voici un resume de mon travail : je developpe en C/C++ une application pour Thelma (appareil que l'on place dans les Bus et Trams) pour gerer la communication entre les elements (gps radio affichage aux passagers...)  Je ne sais plus s'il y avait la question avant : j'ai commence a travailler un peu moins de 4 mois apres la fin de mon stage (trouve environ 3 mois apres).
Genie Biologique et Agroalimentaires (GBA),2017,Je souhaitais personnellement remercier Mme Marchesseau d'avoir soutenu et defendu mon projet professionnel visant a m'engager dans la recherche dans le secteur public. Grace a mes stages realises j'ai desormais les contacts et l'experience pour continuer dans ce secteur qui me tient a c&oeligur.
Microelectronique Et Automatique (MEA),2016,Apprendre a se connaitre(ses qualites et ses defaults) pour s'appuyer la dessus et comprendre le type de poste voulu
Genie Biologique et Agroalimentaires (GBA),2015,Mon insertion professionnelle s'est tres bien deroulee. J'ai trouve avec mon diplome une entreprise dans laquelle j'etais epanouie. Pour des raisons personnelles j'ai du changer de poste et de localite mais mon parcours et ma formation m'ont toujours aide lors de mes entretiens.
Mecanique et Interactions (MI),2019,-
Microelectronique Et Automatique (MEA),2020, 
Materiaux (MAT),2018, Je pense que mon stage de fin d'etude a joue un grand role dans mon insertion professionnelle !
Genie Biologique et Agroalimentaires (GBA),2019, mon stage de 4eme annee (projet qualite) et mon semestre a l'etranger m'ont ete favorables
Materiaux (MAT),2018,.
Materiaux (MAT),2020,.
Materiaux (MAT),2020,.
Mecanique Structures Industrielles (MSI - apprentissage),2019,/
Eau et Genie Civil (EGC - apprentissage),2020,/
Genie Biologique et Agroalimentaires (GBA),2020,A titre personnel pour trouver un emploi je rencontre beaucoup de difficultes par rapport a 2 choses : - le manque d'experience en management. C'est une competence de terrain avant tout cependant avoir quelques heures d'enseignements pour avoir des conseils de base pourrait rassurer les recruteurs. - l'amelioration continue. Beaucoup d'entreprise recherchent des profils  X + amelioration continue  en complement pour lesquelles ce que l'on apprend actuellement est beaucoup trop leger. Theorie breve pas de cas d'application industriels...
Mecanique et Interactions (MI),2020,Actuellement en recherche d'emploi j'ai elargi les domaines d'activites pour pouvoir pretendre a une embauche.
Sciences et Technologies de l'Eau (STE),2019,Ambiance de la boite est primordiale
Sciences et Technologies de l'Eau (STE),2019,Aucun
Genie Biologique et Agroalimentaires (GBA),2020,Aucun
Microelectronique Et Automatique (MEA),2020,Aucun accompagnement de la part de Polytech Montpellier dans la recherche du premier emploi.
Informatique et Gestion (IG),2019,Aucun probleme a l'insertion professionnelle suite a la formation. Peut etre proposer plus de specialisation. 
Microelectronique Et Automatique (MEA),2020,Aucun probleme surtout grace au cours qui touche de pres ou de loin a l'insertion professionnelle ! 
Eau et Genie Civil (EGC - apprentissage),2020,Aucun soucis pour l'insertion professionnelle aucune recherche a faire j'etais sollicite grandement 3 mois avant la fin du cursus  
Sciences et Technologies de l'Eau (STE),2019,Aucun j ai toujours voulu faire professeur et ce diplome d ingenieur m a permi de passer mon capes et d etre plus facilement recrute par Acadomia
Informatique et Gestion (IG),2019,Aucune remarque particuliere. Je ne pensais pas autant m'epanouir dans le travail
Eau et Genie Civil (EGC - apprentissage),2019,Avoir fait une formation d'ingenieur en plus par apprentissage c'est ce qui compte le plus dans le 1er recrutement
Microelectronique Et Automatique (MEA),2019,Besoin d'etre plus international
Genie Biologique et Agroalimentaires (GBA),2018,Bien que Polytech nous prepare tres bien a la vie pro il serait aussi interessant de reussir a faire passer le message que les premieres annees ne sont pas 'toutes roses' qu'il faut aussi parfois composer avec un management dur ou non adapte et parvenir a gerer la pression. Ce sont egalement des apprentissages necessaires face auxquelles je me suis sentie un peu demunie au debut de ma vie pro car je ne m'y attendais pas du tout. Je me suis beaucoup remise en question alors que nous sommes nombreux a avoir du nous adapter !
Sciences et Technologies de l'Eau (STE),2019,Bonne insertion du a la fois a la formation et au stage mais egalement aux qualites personnelles acquises en dehors de la formation 
Informatique et Gestion (IG),2020,ca a ete un peu particulier pour nous la promo 2020 a cause du covid et par consequent du teletravail. 
Informatique et Gestion (IG),2018,Ca c'est globalement plutot bien passe meme si elle aurait ete facilite si j'avais suivi le conseil precedemment enonce.
Sciences et Technologies de l'Eau (STE),2018,ca c'est plutot bien passe je n'ai pas connu le chomage donc c'est parfait :) 
Mecanique et Interactions (MI),2019,Ce fut rapide mais j'ai eu de la chance
Mecanique et Interactions (MI),2020,Ce fut un plaisir d'etudier a Polytech Montpellier en tant qu'eleve en MI
