formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Microelectronique Et Automatique (MEA),SQL
Genie Biologique et Agroalimentaires (GBA),Transfert membranaires (4A). Les ordinateurs font tres bien les calculs trop theoriques sur lesquels ont s'est trop longtemps concentres 
Genie Biologique et Agroalimentaires (GBA),Aucun
Genie Biologique et Agroalimentaires (GBA),Aucun. MIme si je n'utilise pratiquement que les cours de la 5eme annee la majorite des cours theoriques permettent de comprendre beaucoup de choses en usine. Je pense qu'il faut plutut voir  relier les cours ensembles afin d'enseigner la vision globale aux etudiants pour qu'ils soient  mIme de prendre de la hauteur sur toutes les problematiques qu'ils rencontreront en entreprise et donc pouvoir Itre force de proposition par la suite. 
Materiaux (MAT),LV2 espagnol (car tres peu demandee et prend trop de temps dans le planning)
Systemes Embarques (SE - apprentissage),Gestion de l'innovation 
Genie Biologique et Agroalimentaires (GBA),/
Materiaux (MAT),Suite  ma poursuite en these et son sujet les cours sur les polymeres la RDM la rheologie... me sont peu utiles. Toutefois ils ne sont pas d'autres de mes camarades.
Sciences et Technologies de l'Eau (STE),Aucun. Je suis content d'avoir acquis ces connaissances mIme si certaines me servent surtout d'un point de vue culture generale.
Eau et Genie Civil (EGC - apprentissage),Pass info
Eau et Genie Civil (EGC - apprentissage),........
Eau et Genie Civil (EGC - apprentissage),Sans objet 
Eau et Genie Civil (EGC - apprentissage),Base de donnees
Informatique et Gestion (IG),Management des SI
Sciences et Technologies de l'Eau (STE),Aucune
Informatique et Gestion (IG),Math de la decision
Informatique et Gestion (IG),Les cours de systemes d'information 
Microelectronique Et Automatique (MEA),Tous les enseignement d'info industrielle et surtout les projets.
Sciences et Technologies de l'Eau (STE),Quasiment tous les enseignements non scientifiques. J'ai conscience qu'il en faut 1/3 dans les enseignements d'une ecole d'ingenieur et que mon choix de carriere n'est pas celui qui permet le plus de valoriser ces enseignements (l'interIt des cours de gestion d'entreprise ou de langues etrangeres dans la fonction publique territoriale est tres relatif alors qu'il peut Itre essentiel pour d'autre metier de notre domaine). Malgre Aa je n'ai pas trouve d'interIt  ces cours ni en les subissant  l'epoque ni retrospectivement en etant dans le monde du travail. 
Sciences et Technologies de l'Eau (STE),-
Informatique et Gestion (IG),Aucun
Systemes Embarques (SE - apprentissage),Uml 
Materiaux (MAT),Juridique
Materiaux (MAT),physique du solide ( Gilles Silly) 
Materiaux (MAT),Voire question 56
Materiaux (MAT),Physique du solide Autres matieres tres poussees mais finalement tres specifiques
Systemes Embarques (SE - apprentissage),Avec un peu de recul tres peu. Tout apporte des outils un cheminement pour developper une solution. 
Materiaux (MAT),/
Genie Biologique et Agroalimentaires (GBA),Tout depend de la voie suivis
Sciences et Technologies de l'Eau (STE),Automatique
Mecanique et Interactions (MI),Durant l'apprentissage ou actuellement dans la these aucune des UE non techniques et cibles meca ne m'ont semble utiles. 
Systemes Embarques (SE - apprentissage),La comptabilite. Nous avons eu un cours de gestion d'entreprise et un cours de comptabilite. Mais le cours de gestion d'entreprise suffisait je pense. 
Mecanique et Interactions (MI),Tous les enseignements techniques sont interessants et permettent justement d'avoir un panel tres large de connaissances. Les cours en dehors du technique et des langues me paraissent malheureusement que peu utiles pour certains. Les notions d'economie et droit me sont quasiment inutiles (certaines matieres d'economie meriteraient de passer moins de temps pour simplement retenir les bases parce qu'au final apres la formation c'est ce qu'on retient de ces cours).
Mecanique et Interactions (MI),Cela depend forcement du domaine/de la specialisation vers laquelle on veut se tourner apres. Je considere que tout a son utilite etant donne qu'on forme differents types d'ingenieurs en mecanique.  Je pense cependant que la touche Droit / communication / gestion n'est pas tres efficace et que ce genre de competence s'apprend sur le tas lorsqu'on en a besoin (creation d'une start up etc) d'autant plus qu'il existe des accompagnements pour de tels projets.
Systemes Embarques (SE - apprentissage),Aucun pour la formation  VHDL personellement
Genie Biologique et Agroalimentaires (GBA),La totalite
Systemes Embarques (SE - apprentissage),Cryptographie CAN
Informatique et Gestion (IG), 
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite expression gestion ressources humaines droit
Mecanique Structures Industrielles (MSI - apprentissage),Tout depend le secteur d'activite de l'entreprise de l'apprenti. Dans mon cas emboutissage chimie
Mecanique Structures Industrielles (MSI - apprentissage),Aucunes 
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Materiaux (MAT), 
Informatique et Gestion (IG),RH/Droit/Compta/UML/Merise
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Informatique et Gestion (IG),Maths de la decision
Mecanique Structures Industrielles (MSI - apprentissage),Aucun tous utiles  un moment donne 
Informatique et Gestion (IG),Les maths de la decision
Materiaux (MAT),L'insertion professionelle.
Materiaux (MAT),Pour moi l'entrepreneuriat devrait Itre une option non obligatoire.
Materiaux (MAT),Physique statistique Calcul scientifique Analyse mathematique et Numerique 
Genie Biologique et Agroalimentaires (GBA),Absolument aucun ils pourraient tous me permettre de  revenir dans l'agroalimentaire  termes.
Genie Biologique et Agroalimentaires (GBA),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Emboutissage
Genie Biologique et Agroalimentaires (GBA),NI
Eau et Genie Civil (EGC - apprentissage),Microbiologie Methodes numeriques
Eau et Genie Civil (EGC - apprentissage),Aucun
Mecanique et Interactions (MI),Medical 
Microelectronique Et Automatique (MEA),Aucun
Microelectronique Et Automatique (MEA),Aucun rien que pour la culture generale tous les cours sont utiles...
Microelectronique Et Automatique (MEA),SQL Cryptographie Traitement de l'information 
Microelectronique Et Automatique (MEA),Ondes
Microelectronique Et Automatique (MEA),beaucoup mais j'ai oublie les noms des matieres
Microelectronique Et Automatique (MEA),Aucun
Genie Biologique et Agroalimentaires (GBA),Beaucoup des matieres ne me sont pas utiles en revanche je ne sais pas suffisamment ce que font les anciens eleves pour determiner si une matiere est inutile dans le cursus.
Genie Biologique et Agroalimentaires (GBA),Aucun 
Sciences et Technologies de l'Eau (STE),chimie
Genie Biologique et Agroalimentaires (GBA),Les deux premieres annees ne sont pas assez acces professionnel c'est dommage du theorique qui paraOt abstrait.
Informatique et Gestion (IG),MASI 
Genie Biologique et Agroalimentaires (GBA),Trop de theories dans certains cours manque d'application (transfert matiere thermodynamique) 
Genie Biologique et Agroalimentaires (GBA),Aucun. Toutefois il aurait ete interessant que certains cours soient enseignes differemment car ils ne nous ont pas apporte beaucoup. 
Materiaux (MAT),BDD/Modelisation : L'etude de la base de donne n'est pas le metier que l'on envisage quand on est etudiant materiau...  MIme s'il peut s'averer utile dans quelques cas. En faire un projet plutut qu'un enseignement me paraitrait plus judicieux..
Sciences et Technologies de l'Eau (STE),Je ne sais pas.
Genie Biologique et Agroalimentaires (GBA),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),GRH
Mecanique et Interactions (MI),/
Informatique et Gestion (IG),Gestion
Mecanique et Interactions (MI),RAS
Systemes Embarques (SE - apprentissage),Formation juridique 
Microelectronique Et Automatique (MEA),Programmation C assembleur electronique 
Microelectronique Et Automatique (MEA),Pour moi juste la programmation VHDL
Microelectronique Et Automatique (MEA),Rien
Microelectronique Et Automatique (MEA),La programmation Swift. L'Android me parait moins utile que le Python ou Javascript mais reste interessant. Tous les cours d'automatique me sont les moins utiles de tous. J'imagine qu'il n'est pas envisageable de les supprimer mais peut-etre faudrait-il penser a en faire une option comme la micro-electronique et la robotique.
Microelectronique Et Automatique (MEA),Aucun du moment qu'il est rendu interessant. par le professeur (ce n'est pas toujours le cas malheureusement)
Microelectronique Et Automatique (MEA),Les cours en gestion d'entreprise et creation d'entreprise n'etaient pas tres pertinent. 
Microelectronique Et Automatique (MEA),je ne m'en souviens pas vu que c'etait inutile ^^
Microelectronique Et Automatique (MEA),Aucun. 
Microelectronique Et Automatique (MEA),Ondes theorie de l'information espagnol 
Systemes Embarques (SE - apprentissage),Gestion d'entreprise
Systemes Embarques (SE - apprentissage),economie
Mecanique Structures Industrielles (MSI - apprentissage),Chimie
Informatique et Gestion (IG),AUCUNS
Informatique et Gestion (IG),Toute la partie gestion. En gros.
Informatique et Gestion (IG),maths de la decision 
Informatique et Gestion (IG),Cours sur les systeme s information et les cours pour le double master 
Informatique et Gestion (IG),Comptabilite Mathematiques de la decision 
Informatique et Gestion (IG),Merise/UML trop present
Informatique et Gestion (IG),algorithmie programmation objet base de donnees relationnelles
Materiaux (MAT),le cours du Cast3m autant faire du solidworks qui est utilise par une majorite des entreprises et/ou laboratoire de recherche.
Materiaux (MAT),Trop general peut-etre essayer de plus specialiser en MAT5. La coloration meca/physico-chimie n'est pas suffisante pour moi ca reste beaucoup trop general il faudrait plus specialiser a l'interieur de ces colorations. Peut-etre faire un choix dans les materiaux que l'on souhaite etudier. Je ne pense pas qu'il soit utile d'en connaitre sur tous les materiaux qui existent. Aujourd'hui je ne travaille que sur le PVC. Tous ce que je connais sur les autres materiaux ne me sert pas du tout. En revanche les methodes de caracterisations que j'ai pu voir sur les autres materiaux me sont utiles. On a une formation tellement generale que l'on ne connait qu'en surface les choses. Je pense qu'il serait plus profitable d'aller plus dans le details sur les materiaux qui nous interessent et sur lesquels on sait que l'on veut travailler.  Le probleme de notre formation c'est que l'on n'est specialistes en rien et il est tres difficile de rivaliser avec quelqu'un qui est specialiste dans le domaine dans le lequel on veut travailler du moins pour un stage ou pour un premier emploi.
Materiaux (MAT),Techniques de communication ecoconception
Materiaux (MAT),Communication entreprenariat
Materiaux (MAT),/
Materiaux (MAT),MEF MSG (en ce qui concerne mon projet professionnel)
Materiaux (MAT),Economie
Materiaux (MAT),Aucun
Mecanique et Interactions (MI),Aucun 
Mecanique et Interactions (MI),Aucun. On rale des fois sur des matieres mais avec le recul aucune n'a ete inutile.
Mecanique et Interactions (MI),Eco-conception
Mecanique et Interactions (MI),Je ne dirais pas inutile mais les cours d'economie (environnement des entreprises) presentait une charge trop importante de travail et d'heures de cours par rapport a son utilite.
Mecanique et Interactions (MI),BDD
Mecanique Structures Industrielles (MSI - apprentissage),Procedes de soudage Normes Conception & Calculs
Genie Biologique et Agroalimentaires (GBA),Les enseignements de 'Communication ecrite' et les enseignements d'anglais au dela de la 3eme annee pour ceux qui obtiennent leur TOEIC a ce moment la.
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite 
Sciences et Technologies de l'Eau (STE),Toutes les matieres en relation au traitement des eaux (STEP) tel qu'elles ont ete enseignees : incomprehension totale donc inutile MAIS aurait pu etre fortement utile et interessante si approche et/ou maniere d'enseigner differente
Sciences et Technologies de l'Eau (STE),Ecologie Traitement: Il manquait une option hydraulique / hydrologie en 4eme annee pour plus d'approfondissement pour ceux qui le souhaitaient.
Sciences et Technologies de l'Eau (STE),-
Sciences et Technologies de l'Eau (STE),La LV2 : cette matiere ne devrait pas etre obligatoire mais plutot optionnelle.
Sciences et Technologies de l'Eau (STE),Aucun enseignement inutile dans l'absolu depend du metier qu'on choisit
Sciences et Technologies de l'Eau (STE),Certains enseignements fournis en dernieres annees par des intervenants exterieurs (energie - eolien etc.) 
Sciences et Technologies de l'Eau (STE),Beaucoup d'enseignements auraient pu etre vu en specialite (biologie etc) car repris en 5A dans les cours menes par les interventions de maniere suffisante
Eau et Genie Civil (EGC - apprentissage),Aucun enseignements n'est inutile il y a toujours des notions interessantes. Cependant lorsque nous apprenons precisement (observation microscopique) les virus et pathologies presents en station d'epuration alors que nous ne savons pas choisir mettre en place et diagnostiquer un assainissement non collectif pour un simple particulier cela perd tout son sens. 
Genie Biologique et Agroalimentaires (GBA),enseignement de bioproduction trop lourds en regard des opportunites dans ce secteur
Genie Biologique et Agroalimentaires (GBA),entrepreunariat (mauvais cours) anglais espagnol il faudrait pouvoir faire des choix de cours en fonction de notre projet professionnel on connait de facon tres superficiel beaucoup de choses mais on ne connait de facon un peu plus approfondie tres peu de choses. Les connaissances de bases doivent etre bien plus appliquees et approfondies.
Genie Biologique et Agroalimentaires (GBA),Matiere molle communication ecrite (GBA3)  l'espagnol
Genie Biologique et Agroalimentaires (GBA),Aucun
Genie Biologique et Agroalimentaires (GBA),Etude des fluides mecanique et physique trop poussee
Genie Biologique et Agroalimentaires (GBA),Aucun ils permettent de se forger une methode de reflexion qu'on demande a un ingenieur. Cependant il peut etre difficile de prendre de la hauteur sur l'ensemble des cours car les matieres enseignees sont tres segmentees.
Genie Biologique et Agroalimentaires (GBA),Rien n'est jamais inutile
Genie Biologique et Agroalimentaires (GBA),/
Materiaux (MAT),Je ne vois pas de cours inutiles mais je pense que certains cours sont trop chronophages par rapport a ce qu'ils apportent reellement en terme de competence. C'est le cas pour moi du cours de MEF qui n'a d'interet que s'il est approfondi en option meca.
Microelectronique Et Automatique (MEA),Maths theoriques en 3A
Mecanique Structures Industrielles (MSI - apprentissage),neant
Microelectronique Et Automatique (MEA),Les 2 semestres d'espagnol qui apparaissent sans raison au milieu de 5 ans d'etudes. 
Microelectronique Et Automatique (MEA),Projet de creation d'entreprise/association inter-departements de 5e annee
Microelectronique Et Automatique (MEA),un certain nombre
Microelectronique Et Automatique (MEA),Base de donnees
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),microbio indus 
Genie Biologique et Agroalimentaires (GBA),beaucoup... mais c'etait enrichissant pour la culture G
Genie Biologique et Agroalimentaires (GBA),Etude des reacteurs Fermentation (notamment les TPs...) Le reste RAS
Energetique - energies Renouvelables (EnR),Chaque UE etait utile. 
Informatique et Gestion (IG),Toutes les matieres Gestion sont interessantes mais on pourrait apprendre des choses plus pertinentes (AMOA / metiers d'une DSI ...)
Informatique et Gestion (IG),Lvl 2 Economie. Dans une equipe il faut plusieurs domaines de competence. Mon activite ne necessite pas maitriser tous les enseignements de Polytech. Mais aucun n'est inutile car il me permet de connaitre ces domaines pour echanger avec les membres de l'equipe.
Mecanique et Interactions (MI),/
Materiaux (MAT),Il y a pas. J'ai trouve utile tous les cours.
Materiaux (MAT),Langue vivante 2.
Materiaux (MAT),2nde langue
Materiaux (MAT),cristallographie
Mecanique Structures Industrielles (MSI - apprentissage),Programmation
Eau et Genie Civil (EGC - apprentissage),Une partie des mathematiques : realiser des pages de calculs avec des sigles et formules que l'on utilisera jamais de notre vie c'est bien dommage quand on sait que des formules et calculs relativement  simples sont quotidiennement utilises.
Eau et Genie Civil (EGC - apprentissage),Programmation VBA
Eau et Genie Civil (EGC - apprentissage),Vba
Sciences et Technologies de l'Eau (STE),Lagune
Sciences et Technologies de l'Eau (STE),Les cours non interactifs avec 100 diapos par heure sans aucune prise de note possible sans interactivite ou avec des phrases a trous : je n'ai strictement rien conserve de ces cours dans ma tete...  
Sciences et Technologies de l'Eau (STE),Tous sont utiles. Il s'agit peut etre de mieux distribuer les temps passes sur chaque enseignement.
Sciences et Technologies de l'Eau (STE),peut etre donner le choix de deux specialisations entre genie des procedes hydraulique et ecologie en derniere annee.
Sciences et Technologies de l'Eau (STE),Transitoire hydraulique : enseignement beaucoup trop pousse et specifique au vu de la formation qui est plutot generale. Ce serait plus un enseignement de specialisation. Point positif c'etait enseigne en anglais avec un enseignant qui parle bien anglais. Autre enseignement : en derniere annee le module de creation de start up qui prend beaucoup beaucoup d'heures pour au final pas grand chose. Etre mixe avec les autres promos est plutot une bonne chose en soi mais pour la formation STE cet enseignement n'est pas du tout adapte la creation de start up n'est pas un debouche en sortie de cette formation.
Sciences et Technologies de l'Eau (STE),Les logiciels de modelisation hydraulique utilisaient par peu de bureaux d'etudes
Sciences et Technologies de l'Eau (STE),Controle des procedes (enseigne de cette maniere en tout cas...) Hydraulique transitoire (trop mathematiques mais interessant. A supprimer pour faire de la place a des matieres plus concretes). Exotoxicologie (trop faible volume horaire pour que ce soit interessant)
Mecanique et Interactions (MI),Pour ma part je dirais que c'est l'ensemble des matieres proposees qui n'est pas coherente. La filiere MI doit avoir un objectif clair sur les metiers auxquels elle prepare. Pensez a des ateliers projets professionnels pour permettre aux etudiants de definir au mieux leurs attentes. Multipliez les forums interventions d'entreprises qui permettront de faire decouvrir les differents metiers auxquels ils ont acces avec leur diplome.
Genie Biologique et Agroalimentaires (GBA),Cours trop theorique ou sans application concrete dans la vie professionnelle
Microelectronique Et Automatique (MEA),Aucun
Informatique et Gestion (IG),LV2
Sciences et Technologies de l'Eau (STE),Biologie animal 
Materiaux (MAT),??? Droit ???
Microelectronique Et Automatique (MEA),LV2 = jamais utilise dans le perso ou le pro dommage pour des cours de 18 a 20...
Sciences et Technologies de l'Eau (STE),Tous mais avec choix de specialisation plus important
Materiaux (MAT),Travaux Collaboratifs et Collecticiels 
Informatique et Gestion (IG),Beaucoup ne me servent pas dans mon metier mais je ne pense pas pour autant que ces enseignements soient inutiles.
Energetique - energies Renouvelables (EnR),Seconde langue.
Informatique et Gestion (IG),Aucun tout a une utilite a un niveau ou un autre 
Microelectronique Et Automatique (MEA),Micro-electronique (transistors etc...)
Sciences et Technologies de l'Eau (STE),aucun
Energetique - energies Renouvelables (EnR),Espagnol obligatoire
Mecanique Structures Industrielles (MSI - apprentissage),aucun
Eau et Genie Civil (EGC - apprentissage),Aucun
Genie Biologique et Agroalimentaires (GBA),Rien
Informatique et Gestion (IG),Tout ce qui est lie au mathematique 'pousse' :  - Statistiques interessant pour la culture generale mais pas necessaire pour la suite - Recherche operationnelle comme dit tout au long du cursus personne n'a encore trouve l'utilite a la matiere :)
Microelectronique Et Automatique (MEA),L'economie. Le sujet n'est pas inutile (au contraire) mais il a ete mal aborde.
Energetique - energies Renouvelables (EnR),Electronique numerique traitement de signal automatique.
Mecanique et Interactions (MI),Encore une fois cela depend fortement de l'orientation que l'on veut suivre pour ma part les enseignements techniques me paraissent les plus importants. La theorie n'est finalement que tres peu utile.
Energetique - energies Renouvelables (EnR),Beaucoup... De toute facon la formation n'existe plus a polytech. Dommage de l'avoir supprimee une amelioration de la formation aurait pu etre plus judicieuse. Une formation energies renouvelable est pour moi primordial dans un reseau comme polytech !
Microelectronique Et Automatique (MEA),Micro-electronique (dans mon cas)
Eau et Genie Civil (EGC - apprentissage),-
Mecanique et Interactions (MI),Matlab. Cher 
Materiaux (MAT),La formation est trop orientee 'recherche' toutes les matieres devraient etre revues pour etres orientees vers l'industrie. 
Energetique - energies Renouvelables (EnR),pas vraiment d'enseignements inutiles meme si pour beaucoup leur impact n'est qu'anecdotique et servent plus pour la culture generale et donc la relation client
Genie Biologique et Agroalimentaires (GBA),Calcul de reacteur Microbiologie industrielle Programmation Labview
Materiaux (MAT),NSP
Materiaux (MAT),RAS
Energetique - energies Renouvelables (EnR),thermique theorique
Informatique et Gestion (IG),Aucun
Microelectronique Et Automatique (MEA),Aucun tout enseignement est bon a prendre. 
Genie Biologique et Agroalimentaires (GBA),tous est toujours a prendre meme si ce n'est pas directement utilise dans le metier
Systemes Embarques (SE - apprentissage),Aucun
Informatique et Gestion (IG),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),Materiaux ceramiques 
Mecanique Structures Industrielles (MSI - apprentissage),Materiaux plastiques
Mecanique Structures Industrielles (MSI - apprentissage),Jeux d'entreprise comptabilite et economie
Eau et Genie Civil (EGC - apprentissage),Pas de cours reellement inutile
Mecanique Structures Industrielles (MSI - apprentissage),Chinois
Mecanique Structures Industrielles (MSI - apprentissage),Math informatique
Mecanique Structures Industrielles (MSI - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),aucun 
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Genie Biologique et Agroalimentaires (GBA),Lv2 
Eau et Genie Civil (EGC - apprentissage),Pass info
Genie Biologique et Agroalimentaires (GBA),X
Genie Biologique et Agroalimentaires (GBA),Matiere molle  Statistiques  LV2  
Genie Biologique et Agroalimentaires (GBA),Tous les enseignements professionnels de production + anglais 
Genie Biologique et Agroalimentaires (GBA),Neant
Genie Biologique et Agroalimentaires (GBA),metrologie
Genie Biologique et Agroalimentaires (GBA),LabView
Genie Biologique et Agroalimentaires (GBA),Microbiologie industrielle
Genie Biologique et Agroalimentaires (GBA),Ceux que j'ai oublie
Eau et Genie Civil (EGC - apprentissage),aucun
Sciences et Technologies de l'Eau (STE),Aucun
Sciences et Technologies de l'Eau (STE),Ceux qui ne sont pas en rapport avec l'hydraulique urbaine secteur vers lequel je me suis dirige
Sciences et Technologies de l'Eau (STE),Sans objet Beaucoup ne sont pas utilises dans mon quotidien mais rien n'a ete inutile 
Sciences et Technologies de l'Eau (STE),Semaine du numerique
Sciences et Technologies de l'Eau (STE),Aucune matiere me semble inutile Peut-etre serait-il necessaire de mettre en place des vrais projets sur 6 mois avec justement une specialite quelque chose de concret pourquoi pas en partenariat avec des bureaux d'etudes
Sciences et Technologies de l'Eau (STE),Pas de matieres inutiles mais les specialites mises en place apres notre promo me semblent interessantes. 
Genie Biologique et Agroalimentaires (GBA),Statistiques mais cet UE doit changer en Maitrisse des outils informatiques 
Sciences et Technologies de l'Eau (STE),L'unite de travail sur les normes pourrait etre raccourcie
Sciences et Technologies de l'Eau (STE),/
Sciences et Technologies de l'Eau (STE),certaines interventions par des professionnels en 5eme annee
Informatique et Gestion (IG),Aucun je crois.
Sciences et Technologies de l'Eau (STE),aucun 
Sciences et Technologies de l'Eau (STE),RAS
Genie Biologique et Agroalimentaires (GBA),Les cours sur Labview certains cours trop theoriques 
Microelectronique Et Automatique (MEA),Certains enseignements me sont actuellement inutiles a premiere vue mais etre issu d'une formation tres generale est une force grace au bagage multidisciplinaire.
Microelectronique Et Automatique (MEA),Environnement economique des entreprises
Informatique et Gestion (IG),Certaines matieres theoriques ne me sont pas utiles dans mon metier actuel (telles que Complexite Recherche operationnelle...)
Eau et Genie Civil (EGC - apprentissage),Microbiologie (dans le cadre de mon projet pro)
Informatique et Gestion (IG),aucun
Mecanique et Interactions (MI),Dans l'ordre chronologique de la formation MI : -Environment economique des entreprises -Organisation et fonctionnement des entreprises -BDD/ Modelisation -Passeport informatique -Gestion d'entreprise -Innovation et entrepreneuriat -Eco-conception (cet enseignement pourrait etre utiles si il etait sous la forme de projet)
Mecanique et Interactions (MI), Aucun
Mecanique et Interactions (MI),Innovation Montage de Start up
Mecanique et Interactions (MI),Robotique pour mon cas personnel
Mecanique et Interactions (MI),3 fois les memes cours d'asservissement/robotique
Mecanique et Interactions (MI),bio-conception
Mecanique et Interactions (MI),Aucun
Mecanique et Interactions (MI),Eco conception 
Mecanique et Interactions (MI),Base de donnees Innovation et entrepreunariat
Informatique et Gestion (IG),Difficile a dire car chaque enseignements peut avoir son importance en fonction de ce que l'on souhaite faire plus tard.
Mecanique et Interactions (MI),les cours de communication actuels qui meriteraient d etre un peu plus pousses
Informatique et Gestion (IG),Je ne me rappelle plus
Systemes Embarques (SE - apprentissage),Certains aspects sont 'vieux jeu' mais indispensables pour une bonne culture G ... Donc rien d'inutile mais vous pouvez simplifier la chose et arreter de nous prendre la tete et voir des themes plus recents ... 
Mecanique et Interactions (MI),BDD/Modelisation Langue vivante 2
Informatique et Gestion (IG),Les enseignements de gestions (comptabilite analyse financiere)  La theorie des organisations reste interessante.
Mecanique et Interactions (MI),Personnellement les cours de mecanique trop theorique (MMC par exemple)
Informatique et Gestion (IG),Certains cours de developpement en langages specifiques (comme sqala) pour les profils qui sont plus interesses par la maitrise d'ouvrage
Mecanique et Interactions (MI), 
Materiaux (MAT),MMC RDM MSG et 
Informatique et Gestion (IG),La RO.
Materiaux (MAT),Mathematiques
Materiaux (MAT),/
Materiaux (MAT),C'est difficile a dire ici en terme de construction citoyenne et personnelle j'estime que tous les cours ont eu leur place.   Je pense que l'ecole fait reellement de son mieux pour s'adapter au monde du travail. 
Materiaux (MAT),AMN projet informatiques mathematiques
Eau et Genie Civil (EGC - apprentissage),Microbio.
Materiaux (MAT),Choix des materiaux Communication ecrite 
Materiaux (MAT),Algorithme et Matlab Calcul Scientifique Materiaux et ecoconception Choix des materiaux Resistance des materiaux 2 Les betons Projet Analyse Math. et Num.
Genie Biologique et Agroalimentaires (GBA),Enseignements trop precis (transfert de matiere par exemple) pas de vision globale
Informatique et Gestion (IG),Recherche operationnelle espagnol obstination a vouloir connaitre 'par coeur' les algorithmes de tri et leurs complexite... On est en 2018 tout est sur internet et tout le monde a acces a internet stop this madness! :) 
Informatique et Gestion (IG),Seconde langue vivante 'forcee' par la LV2 lycee. Ouvrir a d'autres langues que celles du lycee pourrait etre utile (ex : Mandarin / Japonais / Coreen)
Materiaux (MAT),Aucun.
Informatique et Gestion (IG),Stats econometrie RFID les cours avec Marco projet avec la matiere de compta
Mecanique Structures Industrielles (MSI - apprentissage),Eco gestion
Materiaux (MAT),Sans objet.
Genie Biologique et Agroalimentaires (GBA),RAS
Materiaux (MAT),enseignement parfois trop en profondeur utilite limite derriere dans le monde du travail
Mecanique et Interactions (MI),-
Microelectronique Et Automatique (MEA),Anglais mais ceci est lie a la maniere dont la formation est faite. 
Informatique et Gestion (IG),RAS
Materiaux (MAT),L'apprentissage du logiciel CASTEM 
Eau et Genie Civil (EGC - apprentissage),Aucun 
Materiaux (MAT),Communication orale et ecrite  Changer d'intervenants parait etre une prerogative mention speciale pour Mr Brun 
Materiaux (MAT),/
Informatique et Gestion (IG),Comptabilite Economie UML/Modelisation en general Recherche Operationnelle
Materiaux (MAT),Je ne pense qu'il y'ait eu d'enseignement inutiles car la force de la specialite Materiaux est d'etre generaliste et polyvalente.  Mais je pense que certains enseignements ont ete vus et revues au detriment d'enseignements plus concrets.  Exemple : les cours de Verre Metaux. Il est utile de les decouvrir en MAT3 mais l'approfondissent du sujet en MAT4 est redondant. Les connaissances de base ont une reelle utilite dans le cadre professionnel pas l'approfondissement.
Materiaux (MAT),Verre responsabilite ecologique et societale Certains enseignement se repetent entre la mat 3 et la mat 4 (ceramique notamment verre physique du solide). De mon point de vue il s'agissait d'une perte de temps qui aurait permis a d'autres cours d'etre plus approfondies ou alors de permettre l'ajout de nouveaux cours en derniere annee.
Informatique et Gestion (IG),Recherche operationnelle mais ca reste interessant pour la culture
Sciences et Technologies de l'Eau (STE),Ayant un travail relatif a la gestion du risque inondation en milieu urbain je n'utilise pas ce que j'ai appris en genie des procedes
Genie Biologique et Agroalimentaires (GBA),Droit
Genie Biologique et Agroalimentaires (GBA),Aucun
Genie Biologique et Agroalimentaires (GBA),Echange thermique et de matiere 
Genie Biologique et Agroalimentaires (GBA),Tous ont leur utilite un jour ou l'autre 
Genie Biologique et Agroalimentaires (GBA),+ La pedagogie inversee pour le module d'environnement economique des entreprises
Genie Biologique et Agroalimentaires (GBA),Un peu trop de microbiologie industrielle en 4eme annee La troisieme annee reste tres generaliste et pourrait inclure plus de cours favorisant l'insertion professionnelle ou guider vers quel type de carriere l'eleve souhaite s'orienter: Qualite R&D Production...
Genie Biologique et Agroalimentaires (GBA),Aucun la connaissance de nouveaux enseignements est toujours utile
Genie Biologique et Agroalimentaires (GBA),Microbiologie 
Genie Biologique et Agroalimentaires (GBA),Programmation 
Sciences et Technologies de l'Eau (STE),Je pense que tout es utile.
Genie Biologique et Agroalimentaires (GBA),Tout depend du parcours professionnel de chacun. 
Genie Biologique et Agroalimentaires (GBA),aucun
Genie Biologique et Agroalimentaires (GBA),Aucun
Microelectronique Et Automatique (MEA), 
Genie Biologique et Agroalimentaires (GBA),L'ensemble des sciences fondamentales. Ces matieres sont tres interessantes mais ne sont pas utiles en poste a moins de travailler dans la recherche.  
Materiaux (MAT),Physique Statistique (loin devant) Modelisation et base de donnees (quel est l'interet ?) Methode des elements finis --> TP inutiles car professeur totalement incompetent et desinteresse. 
Sciences et Technologies de l'Eau (STE),Les conferences de la derniere annee sont trop condensees pour vraiment en profiter et absorber toutes les informations. 
Materiaux (MAT),Aucun au pire ca reste de la culture
Sciences et Technologies de l'Eau (STE),...
Genie Biologique et Agroalimentaires (GBA),x
